publish_date,source,headline,url,location,tone,framing,group_mentions,metaphors,euphemisms,absences,grief_handling,blame_or_agency,commodification_of_death
,The New York Times · The New York Times,Video: Coronavirus Has Hospitals in Desperate Need of ...,https://www.nytimes.com/video/us/100000007046207/coronavirus-innovative-equipment.html,Conn.; New Haven; Oregon; Indiana; New Orleans,hopeful,preventable,health care workers; doctors; nurses; engineers; high school students; university labs,fight; defense; insurance policy,,racial minorities; working-class; elderly; disabled; incarcerated people; undocumented immigrants; poverty; racism; long COVID; workplace safety; healthcare access,absent,The article suggests that the lack of PPE is a critical issue but does not assign blame; it implies that the situation is preventable with innovation and collaboration.,"The article treats the situation as a challenge to be solved through innovation and collaboration, focusing on solutions rather than the human cost."
,The New York Times · The New York Times,Video: 'People Are Dying': 72 Hours Inside a N.Y.C. Hospital ...,https://www.nytimes.com/video/nyregion/100000007052136/coronavirus-elmhurst-hospital-queens.html,Connecticut; Indiana; Oregon; China; America,tragic,political failure,young people; healthcare workers,war; disaster,,poverty; racial minorities; elderly; long COVID; healthcare access,public,The article assigns responsibility to political leaders and systemic failures for the lack of resources and preparedness.,The article implicitly treats death as a statistic by mentioning the need for refrigerated trucks and the overwhelming number of patients.
"Mar 25, 2020",The New York Times,U.S. Cases of Coronavirus Surpass 1000; British Health ...,https://www.nytimes.com/2020/03/10/world/coronavirus-news.html,Davis; Hawaii; California; Calif.; Indiana; United States; Oregon,neutral,inevitable,Californians; non-Americans; crew members,processing; cordoned off,sick; treated,elderly; racial minorities; healthcare access; long COVID,absent,"The article does not assign specific blame or agency, suggesting the situation is being managed by authorities.","The article treats the situation as a logistical operation, focusing on numbers and processes rather than individual stories or impacts."
"Mar 22, 2020",The New York Times,'It Feels Like a War Zone': Doctors and Nurses Plead for ...,https://www.nytimes.com/2020/03/19/us/hospitals-coronavirus-ppe-shortage.html,Illinois; Northern California; Indiana; Michigan,tragic,systemic injustice,healthcare workers,war zone; cowboy,,government accountability; healthcare access; long COVID; racial disparities,absent,The article implicitly assigns responsibility to government officials and lawmakers for not providing adequate resources.,The article treats death as a consequence of resource scarcity and systemic failure.
"Mar 5, 2020",The New York Times,Trapped on a Cruise Ship by the Coronavirus: When Is ...,https://www.nytimes.com/2020/02/05/world/asia/japan-coronavirus-cruise-ship.html,Tokyo; Yokohama; Indiana; Hong Kong,neutral,inevitable,elderly,stalked; trapped,,healthcare access; systemic failures; government response,absent,"The article suggests the situation is unavoidable, with no specific blame assigned.",The article treats the situation as a logistical challenge rather than focusing on individual or communal loss.
"Mar 23, 2020",The New York Times,Density Is New York City's Big 'Enemy' in the Coronavirus ...,https://www.nytimes.com/2020/03/23/nyregion/coronavirus-nyc-crowds-density.html,New York City'S; China; New York City; Italy; Indiana; New York; Manhattan,alarmed,inevitable,New Yorkers; health care workers,attack; hot spots,,poverty; racial minorities; elderly; long COVID; healthcare access,absent,"The article suggests the density of New York City is a contributing factor, implying a level of inevitability rather than assigning direct blame.","The article treats death as a statistic, focusing on numbers and infection rates."
"Mar 24, 2020",The New York Times,Opinion | Trump to New York: Drop Dead,https://www.nytimes.com/2020/03/24/opinion/trump-nyc-coronavirus.html,Indiana; Maine; Oregon; New York; Washington,tragic,political failure,New Yorkers; multicultural communities,black hole; gasping for breath; Darwinian frame of mind,,poverty; healthcare access; elderly; racial minorities; working-class,public,The article assigns responsibility to Trump for failing to support New York and manage the federal response effectively.,The article implicitly treats death as a political consequence and a result of administrative neglect.
"Mar 17, 2020",The New York Times,Italy's Health Care System Groans Under Coronavirus,https://www.nytimes.com/2020/03/12/world/europe/12italy-coronavirus-health-care.html,Maine; Oregon; South Korea; China; Milan; Europe; The United States; Italy; United States; The Bay Area; Indiana; I.C.U,tragic,systemic injustice,healthcare workers; elderly; families; children,war; battle; crisis,passed away; no longer with us,poverty; racism; long COVID; workplace safety; healthcare access,communal,"The article suggests systemic failures in healthcare capacity and resource allocation, implying that the deaths could have been mitigated with better preparation and resources.","The article treats death as a statistic and a crisis management issue, highlighting numbers and capacity rather than individual stories."
"Mar 22, 2020",The New York Times,New York City Region Is Now an Epicenter of ...,https://www.nytimes.com/2020/03/22/nyregion/Coronavirus-new-York-epicenter.html,New York City; Indiana; The United States Of America; New York City Region; Delaware,tragic,inevitable,general population; frantic shoppers,epicenter; crisis,put on pause,elderly; racial minorities; healthcare workers; systemic factors like healthcare access,absent,"The article suggests the spread is inevitable and does not assign specific blame, focusing instead on the inevitability of the virus spreading.","The article treats the situation as a crisis with statistical inevitability, focusing on numbers and the impact on daily life rather than individual deaths."
"Mar 6, 2020",The New York Times,"With Coronavirus, 'Health Care for Some' Is a Recipe ...",https://www.nytimes.com/2020/03/06/opinion/coronavirus-immigrants-health.html,Atlantic; Virginia County; The United States; Oregon; Indiana,tragic,systemic injustice,citizens; noncitizens; low-wage workers; uninsured; underinsured; immigrants; new mothers; hungry families,hanging by a thread; feed on itself,,poverty; racism; elder neglect; long COVID; workplace safety,absent,"The article assigns responsibility to systemic issues such as inadequate healthcare access, immigration policies, and social safety nets.","The article treats death as a consequence of systemic failures and policy decisions, rather than as mere statistics."
